Image 1,Image 2,Similarity Index
8.jpg,12.jpg,0.016647425
8.jpg,13.jpg,0.4114185
8.jpg,14.jpg,0.396080299
8.jpg,15.jpg,0.441521574
8.jpg,16.jpg,0.112223862
8.jpg,17.jpg,0.36942109
8.jpg,18.jpg,0.400165512
8.jpg,19.jpg,0.479548883
8.jpg,20.jpg,0.466431127
8.jpg,21.jpg,0.370402113
8.jpg,22.jpg,0.430542994
8.jpg,23.jpg,0.430671397
8.jpg,24.jpg,0.431294988
8.jpg,25.jpg,0.453787923
8.jpg,26.jpg,0.169746356
8.jpg,27.jpg,0.615086882
8.jpg,28.jpg,0.461466211
8.jpg,29.jpg,0.243332458
8.jpg,30.jpg,0.553103994
8.jpg,31.jpg,0.452161906
8.jpg,32.jpg,0.446541585
8.jpg,33.jpg,0.402869489
8.jpg,34.jpg,0.431132065
8.jpg,35.jpg,0.580633416
8.jpg,36.jpg,0.475427071
8.jpg,37.jpg,0.009830822
8.jpg,38.jpg,0.546926201
8.jpg,39.jpg,0.468145329
8.jpg,40.jpg,0.666134171
8.jpg,41.jpg,0.420088213
8.jpg,42.jpg,0.448907019
8.jpg,43.jpg,0.470243702
8.jpg,44.jpg,0.40724746
8.jpg,45.jpg,0.451819911
8.jpg,46.jpg,0.468724402
8.jpg,47.jpg,0.46659037
8.jpg,48.jpg,0.390586753
8.jpg,49.jpg,0.460046862
8.jpg,50.jpg,0.46973527
8.jpg,51.jpg,0.480366674
8.jpg,52.jpg,0.391341237
8.jpg,53.jpg,0.420404161
8.jpg,54.jpg,0.468756556
8.jpg,55.jpg,0.45306295
8.jpg,56.jpg,0.49059565
8.jpg,57.jpg,0.682987194
8.jpg,58.jpg,0.139802446
8.jpg,59.jpg,0.557712952
8.jpg,60.jpg,0.466889606
8.jpg,61.jpg,0.443183865
8.jpg,62.jpg,0.385647621
8.jpg,63.jpg,0.432738428
8.jpg,64.jpg,0.433658899
8.jpg,65.jpg,0.437162282
8.jpg,66.jpg,0.45718968
8.jpg,67.jpg,0.252256285
8.jpg,68.jpg,0.431528266
8.jpg,69.jpg,0.478299442
8.jpg,70.jpg,0.509447546
8.jpg,71.jpg,0.559116795
8.jpg,72.jpg,0.491406132
8.jpg,73.jpg,0.459555262
8.jpg,74.jpg,0.443177999
8.jpg,75.jpg,0.441327938
8.jpg,76.jpg,0.490796906
8.jpg,77.jpg,0.469414117
8.jpg,78.jpg,0.431785086
8.jpg,79.jpg,0.51184737
8.jpg,80.jpg,0.476337165
8.jpg,81.jpg,0.461546033
8.jpg,82.jpg,0.533077922
8.jpg,83.jpg,0.494345571
