,Image1,Image2,SimilarityIndex
55,ImageRepo\11.jpg,ImageRepo\10.jpg,0.6357729865269603
56,ImageRepo\11.jpg,ImageRepo\100.jpg,0.5673661372243656
57,ImageRepo\11.jpg,ImageRepo\101.jpg,0.6403332856352456
58,ImageRepo\11.jpg,ImageRepo\102.jpg,0.6663685831108087
59,ImageRepo\11.jpg,ImageRepo\103.jpg,0.03921982814852021
60,ImageRepo\11.jpg,ImageRepo\104.jpg,0.6514732858876958
61,ImageRepo\11.jpg,ImageRepo\105.jpg,0.6650685570466878
62,ImageRepo\11.jpg,ImageRepo\106.jpg,0.6675152918985224
63,ImageRepo\11.jpg,ImageRepo\107.jpg,0.16439056437934094
64,ImageRepo\11.jpg,ImageRepo\108.jpg,0.5737888579483669
65,ImageRepo\11.jpg,ImageRepo\109.jpg,0.20634682089863343
66,ImageRepo\110.jpg,ImageRepo\10.jpg,0.578126106865696
67,ImageRepo\110.jpg,ImageRepo\100.jpg,0.49448699501810106
68,ImageRepo\110.jpg,ImageRepo\101.jpg,0.5753648167390738
69,ImageRepo\110.jpg,ImageRepo\102.jpg,0.5970245224013871
70,ImageRepo\110.jpg,ImageRepo\103.jpg,0.02051420866332808
71,ImageRepo\110.jpg,ImageRepo\104.jpg,0.5950826807059346
72,ImageRepo\110.jpg,ImageRepo\105.jpg,0.5983115439186143
73,ImageRepo\110.jpg,ImageRepo\106.jpg,0.6213744707972411
74,ImageRepo\110.jpg,ImageRepo\107.jpg,0.38138335635391557
75,ImageRepo\110.jpg,ImageRepo\108.jpg,0.5129603495397977
76,ImageRepo\110.jpg,ImageRepo\109.jpg,0.45863056588654477
77,ImageRepo\110.jpg,ImageRepo\11.jpg,0.49124542715614955
78,ImageRepo\111.jpg,ImageRepo\10.jpg,0.5395317175393974
79,ImageRepo\111.jpg,ImageRepo\100.jpg,0.4797623423269308
80,ImageRepo\111.jpg,ImageRepo\101.jpg,0.5428891491722768
81,ImageRepo\111.jpg,ImageRepo\102.jpg,0.5748606063172467
82,ImageRepo\111.jpg,ImageRepo\103.jpg,0.009142897066555362
83,ImageRepo\111.jpg,ImageRepo\104.jpg,0.5790467168771779
84,ImageRepo\111.jpg,ImageRepo\105.jpg,0.5726911932017201
85,ImageRepo\111.jpg,ImageRepo\106.jpg,0.6144987919273128
86,ImageRepo\111.jpg,ImageRepo\107.jpg,0.41513498801926
87,ImageRepo\111.jpg,ImageRepo\108.jpg,0.5025388625774736
88,ImageRepo\111.jpg,ImageRepo\109.jpg,0.5395682857478421
89,ImageRepo\111.jpg,ImageRepo\11.jpg,0.4792483514433956
90,ImageRepo\111.jpg,ImageRepo\110.jpg,0.5310933818012363
91,ImageRepo\112.jpg,ImageRepo\10.jpg,0.77247143317461
92,ImageRepo\112.jpg,ImageRepo\100.jpg,0.680637567870756
93,ImageRepo\112.jpg,ImageRepo\101.jpg,0.774297991163092
94,ImageRepo\112.jpg,ImageRepo\102.jpg,0.8240376052076342
95,ImageRepo\112.jpg,ImageRepo\103.jpg,0.004486308328661029
96,ImageRepo\112.jpg,ImageRepo\104.jpg,0.812103465275789
97,ImageRepo\112.jpg,ImageRepo\105.jpg,0.8131926341607624
98,ImageRepo\112.jpg,ImageRepo\106.jpg,0.8293903313309058
99,ImageRepo\112.jpg,ImageRepo\107.jpg,0.18365583843235478
100,ImageRepo\112.jpg,ImageRepo\108.jpg,0.6751467227233444
101,ImageRepo\112.jpg,ImageRepo\109.jpg,0.2345070470691104
102,ImageRepo\112.jpg,ImageRepo\11.jpg,0.6520237153493288
103,ImageRepo\112.jpg,ImageRepo\110.jpg,0.5898221977770564
104,ImageRepo\112.jpg,ImageRepo\111.jpg,0.5755849070923493
105,ImageRepo\113.jpg,ImageRepo\10.jpg,0.3562606395841034
106,ImageRepo\113.jpg,ImageRepo\100.jpg,0.30941613454300065
107,ImageRepo\113.jpg,ImageRepo\101.jpg,0.3639221677022752
108,ImageRepo\113.jpg,ImageRepo\102.jpg,0.3800108699076996
109,ImageRepo\113.jpg,ImageRepo\103.jpg,0.01344504529324079
110,ImageRepo\113.jpg,ImageRepo\104.jpg,0.3913563287866569
111,ImageRepo\113.jpg,ImageRepo\105.jpg,0.3768969560964519
112,ImageRepo\113.jpg,ImageRepo\106.jpg,0.3828273624548409
113,ImageRepo\113.jpg,ImageRepo\107.jpg,0.6161531209996491
114,ImageRepo\113.jpg,ImageRepo\108.jpg,0.3453249007807428
115,ImageRepo\113.jpg,ImageRepo\109.jpg,0.7453208574988288
116,ImageRepo\113.jpg,ImageRepo\11.jpg,0.3408262280178405
117,ImageRepo\113.jpg,ImageRepo\110.jpg,0.4725453369622323
118,ImageRepo\113.jpg,ImageRepo\111.jpg,0.6572811968407833
119,ImageRepo\113.jpg,ImageRepo\112.jpg,0.3860114277066147
